Name,D (Mpc),D_err (Mpc),q (b/a),Incl (deg),Mbar,M_gas,M*(g-r),g-r,Rh,Mh,Mh_err,M_Re,Me_gmr,Me_gmrerr,M_R235,M235_gmr,M235_gmrerr,M1kpc_gmr,M1kpc_gmrerr,Rho_h,Rho_e
NGC4157,18.0,4.5,0.822,35.53715257901148,48175855506.261826,11516400000.0,36659455506.261826,0.8289999999999988,1.461280112033897,18329727753.130913,16507650019.366007,4.16075020215773,35750299057.379105,31217784442.509327,4.545517607594244,36292844689.191086,31571600923.33675,11695819659.380524,10654636427.327593,3518.2734004574972,682.9037486764399
NGC100,11.2,2.8,0.868,30.451159985433137,4043091950.0563707,2786000000.0,1257091950.056371,0.6390000000000011,2.334637675159428,628545975.0281855,548066041.4649605,2.732286648475249,720033142.0745623,628615981.5133922,5.17252154619883,1099076928.529173,958066986.576505,215474702.9865711,192738458.49037826,137.85533877556932,113.77172041582078
NGC4395,3.5,0.875,0.6676,49.452975515498444,148424668.86878887,0.0,148424668.86878887,0.5299999999999994,1.3125051263251275,74212334.43439443,66152179.15977175,-,-,-,2.1561860242999997,120033671.09220171,116923219.45770188,56180472.56418625,49237458.16404397,21.943107834106495,-
GASS24496,180.3,9.015,0.5151,61.02187440083574,69521510800.13058,8243811174.978237,61277699625.15234,0.8590000000000018,2.963078496540959,30638849812.57617,9152169336.257717,4.285221468437485,47004425760.52652,10304822390.07238,-,-,-,14309600268.395327,3127454295.677173,2546.401388292752,861.0377002475121
UGC12732,13.2,3.3,0.4293,67.18856691098331,-,3933999999.9999995,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
UGC06787,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ESO3020120,69.0,17.25,0.3295,74.49877699680057,1584255346.609671,0.0,1584255346.609671,0.36299999999999955,4.47233367979458,792127673.3048356,722969191.684382,6.483040984376674,1082569300.4468217,994572177.3402361,4.394658836228568,775015841.1473309,705935288.1601015,131095780.19700517,119390344.79457434,9.2769310358545,4.558451479667412
UGC4284,9.801697145709488,0.9801697145709488,0.4398,66.43614790170372,1236543955.8257213,0.0,1236543955.8257213,0.48300000000000054,1.9535794350138884,618271977.9128606,220046933.27321342,2.8522502187861893,847574577.7310804,316547422.6721186,4.131109270588235,1070915082.3965635,413271025.98350054,305300370.5119625,107612405.70294818,40.27926439430765,25.977957382859675
GASS10948,110.5,5.525,0.4801,63.547317884194115,21271423203.627804,474381818.59488285,20797041385.03292,0.9129999999999985,1.8453485415395356,10398520692.51646,2373414930.9301243,3.24439628501167,16016737033.2108,4122034709.5453267,6.3130372832511155,19462062086.220104,4748587524.141575,6774325620.3618555,1407176943.2174857,1245.8768570091388,595.3352580866807
UGC04499,12.5,1.25,0.2156,85.28613507036255,407303391.1885297,0.0,407303391.1885297,0.3619999999999983,1.9994589289267766,203651695.59426484,74097222.67868559,2.4061205405219606,240196648.6588989,88984480.2404225,2.692039920000001,266268956.4320205,104811697.51412356,97435709.92062287,34854825.15515438,11.959493494411861,9.165164073297097
LSBF568-3,77.0,19.25,0.2164,85.16183649814378,4461980503.596142,2218850469.445555,2243130034.150587,0.4369999999999994,4.339926574268446,1121565017.0752933,1016937535.7114706,5.759421493224876,1464381423.5410225,1304985030.7508183,5.601898972492305,1436044018.1157408,1290180020.5110233,133699499.76835726,130702322.8993722,17.486382662140876,10.39100556298456
UGC04325,9.6,0.96,0.3017,76.67111469044228,478608564.7360009,0.0,478608564.7360009,0.4220000000000006,1.478557746589087,239304282.36800048,86019056.68215835,2.1421632805608675,322969894.32457536,127664444.42134681,2.878507494015999,411666300.2600763,155553652.40967235,155727051.15444335,61223267.71099585,26.927761249157395,15.289763233922065
UGC4936,25.64282384584604,2.564282384584604,0.1156,0,8520904501.307792,0.0,8520904501.307792,0.6260000000000012,3.286448222032697,4260452250.653896,1487874972.289721,6.927725856772268,7833912120.420244,2892673170.678868,-,-,-,1384402658.7627437,499009493.7988689,73.23444334938726,26.877817828735022
GASS3189,164.5,8.225,0.5621,57.578205841139166,25686954417.71675,7693572234.006747,17993382183.710003,0.6890000000000001,5.298700624149086,8996691091.855001,2626231707.5172687,6.3394538938281695,10504477270.104622,3804948827.716768,11.202976270430867,15584528208.617416,4525464882.542526,1630185264.457143,327951308.80475825,112.87789198676683,96.01871261499547
